[[477  38  46  37  74  18  10  21 222  57]
 [ 46 632   8  23   6  12  20  13  97 143]
 [ 74  16 327  75 226 122  49  38  39  34]
 [ 44  28  99 320 115 175  74  47  25  73]
 [ 44  23  66  57 577  60  42  80  29  22]
 [ 17  12 112 137 102 467  50  59   9  35]
 [ 28  35  74  72 142  49 523  12  23  42]
 [ 37  19  37  51 108  91  10 576  15  56]
 [ 71  78  26  24  20   6  12  13 695  55]
 [ 48 136  10  41  16  16  11  38 100 584]]
